name;phone;email;website;address;
ARCHIMED TUNISIA;71859710;archimed@archimed.com.tn;;Rte Raoued, Parc Technologique des Communications;;;;;;
Aripa;01.60.73.48.48;"contact@aripa.fr;eric.louis@aripa.fr";www.aripa.fr;130 rue du G�n�ral de Gaulle - 77430 CHAMPAGNE SUR SEINE;;;;;;
Arsautomation;0039.0575.39861;info@arsautomation.com;www.arsautomation.com;Via P. Gobetti, 19 - 52100 Arezzo;;;;;;
ASI (ARAB SOFT INFORMATIQUE);71793202;arabsoft@planet.tn;;12, r. 8010, Monplaisir;;;;;;
Assistanceplus;71715270��;"hassen@assistanceplus.com.tn ; assistance.hasen@planet.tn";www.assistanceplus.com.tn;29, Avenue de l'Ind�pendance R�sidence Maryem - 2080 ARIANA ARIANA   ;;;;;;
Assurances Maghrebia;71 788 800;Khaled.Othmani@ab.com.tn;www.maghrebia.com.tn;64, rue de Palestine Tunis 1002;;;;;;
ASTER DIRECT (SOCIETE EZZAHIA);71861535;jameleddine.kalle@planet.tn;;Imm, Chourouk, Berges Lac;;;;;;
Astute;71 708 499;astute@astute.com.tn;www.astute.com.tn;R�sidence Meriem 29,Rue de l'ind�pendance, 2082 Ariana, Tunisie;;;;;;
ATCS;71715827;commercial@atcs.com.tn;;R. Med S. Belhaj, R�s. Printemps;;;;;;
ATS (ADVANCED TECHNOLOGIES SOFTWARE);71211613 / 71719724;ats.informatique@gnet.tn;;76, Av Habib BOURGUIBA. 2080 ARIANA ARIANA;;;;;;
Audis-engineering;71948020 / 71 948 040;Kais.chaabouni@audis-engineering.com;audis-engineering.com;Ap B1/6 et B1/7 -Melek Center- Boulevard de la terre- CUN;;;;;;
Aviation IT Services Africa;71 942 744;Zied.miladi@aisa.aero;www.aisa.aero;12 Rue de l�artisanat, Charguia II 2035 Tunis-Carthage TUNISIE;;;;;;
AZUR SYSTEMES;71338261;somai@azursys.com.tn;;Im Zarrouk Centre, Angle Rue Ahmed Tlili, Av Carthage, 1000 Tunis;;;;;;
BEST NETWORK COMMUNICATION;71848949;bestnet.com.net;;14, r. Imam El Ghazeli;;;;;;
Best-showing;70825852��;contact@best-showing.com;www.best-showing.com;Avenue Hedi Nouira R�sidence Asma, Nasr II- 2037 MENZAH 5 - 8 ARIANA   ;;;;;;
BFI;71840577 / 71 857 008;bfi@bfi.com.tn;;5,r. Argentine, Tunis-R�s. Yosr, Berges du Lac, Tunis-Rte Raoued, Parc Technologique des Communications, Tunis;;;;;;
BH TECHNOLOGIES;71950020 / 71950014;m.dg@bht.com.tn;;33, Rue 8301, Monplaisir, 1002 Tunis B�lv�d�re;;;;;;
BIAT;;mohamed.benmakhlouf@biat.com.tn;www.biat.com.tn;;;;;;;
Bilog;;"drh@bilog.fr;contact@bilog.com";www.bilog.fr  www.bilog.com;Rte de Raoued, Km3,5, BP35 2088, Complexe Technologique, ARIANA;;;;;;
BIODATA CARTHAGO;71940521;biodata.africa@planet.tn;;R. Entrepreneurs, Charguia II;;;;;;
BMC;71�961�167;commercial@bmc.com.tn;www.bmc.com.tn;Rue lac constance, Immeuble galerie du lac, Bloc B, Bureau 6, 1053 Les berges du Lac. Tunis. Tunisie;;;;;;
BMI;71 388 000;bmi@bmi.com.tn;www.bmi.com.tn;Bureau de Management Industriel Rte de sousse Km 5.5 - Imm Ch�rif 2�me etage;;;;;;
BSII;71887232;isolution@planet.tn;;Colis�e Saula,esc B, Manar II;;;;;;
BUSINESS SOFTWARE COMPONENTS;71280180;BSC@gnet.tn;;Rue 8366, Espace Aziz Bloc B - 1073 MONTPLAISIR TUNIS   ;;;;;;
C2S;71841132;c2s@planet.tn;;10, r. 7000;;;;;;
Canada-services;71 844 300;contact@canada-services.com;www.canada-services.com;44 avenue de la Libert�, Bureau 302 1002 Tunis - Tunisie // Immeuble Becheur 1er �tage N�12 rue Khaled Iben El walid 4002 Sousse Tunisie;;;;;;
CARTHAGE SOFTWARE CO;71388458;"csc.technique@planet.tn ; csc.hanini@planet.tn";www.planet.tn;59, av. France, Ben arous;;;;;;
CAT;71434530;cat@gnet.tn;;62, av. Paris, r�s. Bonna M�grine;;;;;;
CBS;71780249;mhs.cbs@planet.tn;;41, av. H. Chaker;;;;;;
CDI;71889098;lotfi.boumedien@cdi.com.tn;;C. Jasmins, Manar II;;;;;;
CDI ( Consulting et D�veloppement Informatique );71 28 19 58;selma.benmoussa@cdi.com.tn;www.cdi.com.tn;;;;;;;
CEA;;stages@cea.fr;;;;;;;;
CIEL INFORMATIQUE;;sbourcier@topnet.tn;;AVENUE LES ORANGERS N 18 KHEZAMA EST;;;;;;
CIPI (COMPAGNIE INTERNATIONALE DE PROMOTION INDUSTRIEL);71 940 115 / 71 940 124;h.fatnassi@cipi.com.tn;;2, RUE DES ENTREPRENEURS Z.I. ARIANA - 2035 - TUNIS CARTHAGE;;;;;;
CITISOFT;71751270;citisoft@planet.tn;;13, Rue Abou Hay�ne 1004 El Menzeh IV- Tunis;;;;;;
Clfa;;paubert@clfa.fr;;;;;;;;
Cnes;01 44 76 78 02 / +33 1 44 76 78 02;michel.maurette@cnes.fr;www.cnes.fr;Centre National d'Etudes Spatiales - 2 Place Maurice Quentin - 75039 Paris Cedex 1 - France;;;;;;
COM 4;71873470;com4@planet.tn;;Av. T. B. Ammar, imp. N� 1, Menzah 9;;;;;;
Constelis;+33 6 33 41 09 14;"contact@constelis.com;francoise.abjean@constelis.com";www.constelis.com;;;;;;;
COSOFT;71791885;lahmar.ali@planet.tn;;23, r. Ibn Rachiq;;;;;;
Creatis-pub;98 517 061;info@creatis-pub.com;www.creatis-pub.com;Creatis-pub 8bis Avenue Ahmed telili - Megrine 2033-tunis-Tunisie;;;;;;
CSP;71234511;csp@planet.tn;;5 Rue 7036 El Menzah IV - 2080 Ariana;;;;;;
Csys;70�938�055;nizar@csys.com.tn;www.csys.com.tn;La Soukra;;;;;;
CTIT;71844444;youssef.benyedder@gnet.tn;;4,r. Danton;;;;;;
CTS;71724824;ctskam@caravantelecom.com;;R�s. Habib, Berges Lac;;;;;;
CYBER SOFT INFORMATIQUE;71847623;cybersoft@planet.tn;;21, r. Koweit;;;;;;
CYBERCOMM;71238255;f.benamor@cybercomm.com.tn;;31bis, r. T. Ibn Zied;;;;;;
Cybercomm;71238255;t.benamor@cybercomm.com.tn;www.cybercomm.com.tn;31bis, Rue Tarek IBN ZIAD ARIANA ARIANA;;;;;;
CYNEX SOFTWARE;71857057;dhamir@cynex.com.tn;;Copml. Technologique de communications, c. Ghazala;;;;;;
Dassault-aviation;;Bruno.Patin@dassault-aviation.com;www.dassault-aviation.com;;;;;;;
DATASOFT TUNISIE;71337996;datasoft@gnet.tn;;34,r. A. Ben Ghedhahem;;;;;;
D-clicks;;commercial@d-clicks.fr;www.d-clicks.fr;;;;;;;
Dcn;+33 (0)1 40 59 50 00;yves.picart@dcn.fr;www.dcn.fr;40-42, rue du Docteur Finlay - 75732 Paris Cedex 15;;;;;;
Designskillz;;info@designskillz.com;www.designskillz.com;;;;;;;
DIFFUSION INFORMATIQUE;71793053;diffinfo@planet.tn;;5bis, r. kawakibi;;;;;;
Digital Developer;;"sami@digitaldeveloper.com;recrutement@digital-developer.com";;;;;;;;
DISCOVERY INFORMATIQUE;71712463;kais.sellami@discovery.com.tn;;Z.I. Ariana, B.P. 112, Tunis-cedex;;;;;;
Divona Telecom;;recrutement.technique@divonatelecom.com;www.divonatelecom.com;;;;;;;
Dot IT;71 96 53 80;houssem.charfi@dotit.com.tn;www.dotit.com.tn;Immeuble Azur, 3�me �tage Rue du Lac Biwa , Les Berges du Lac 1053 TUNIS;;;;;;
DSC;71950552;dsc@planet.tn;;Espace de Tunis C3-3, Montplaisir 1002 Tunis;;;;;;
Dynalog-us;;"info@dynalog-us.com;support@dynalog-us.com";www.dynalog-us.com;;;;;;;
Ebiznas;;elfalah@ebiznas.com;www.ebiznas.com;;;;;;;
Ebsys-tech;;ebsys@ebsys-tech.com;www.ebsys-tech.com;;;;;;;
Eca;;ppa@eca.fr;www.eca.fr;;;;;;;
Echerif;;jobs@echerif.fr;www.echerif.fr;;;;;;;
Ecomiz;;"hedi.zouari@ecomiz.com;rh@ecomiz.com";www.ecomiz.com;;;;;;;
Edatis;71 23 47 41;is@edatis.com;www.edatis.com;8 Rue H�di Kh�facha - 1004 El Menzah 1 - Tunisie;;;;;;
Edirect-tunisie;;comm@edirect-tunisie.com;www.edirect-tunisie.com;;;;;;;
EDS;71426596;eds.faiza@gnet.tn;;5Ter, r. Tazarka, M�grine;;;;;;
EDS 2I;71950364;hafedh.rahmouni@eds2i.com.tn;;R. Med Badra, Monplaisir;;;;;;
E-I;;iidjobs@e-i.com;www.e-i.com;;;;;;;
EISA INFORMATIQUE;71789541;eisa.inf@gnet.tn;;37, r. Niger;;;;;;
ELECTRONIQUE GENERALE ENTRPRISE;71799019;info@egecomputer.com;;3, r. A.Mansouri;;;;;;
ELITE INFORMATIQUE;71342424;elite@gnet.tn;;63, av. H. Bourguiba, Parnasse;;;;;;
Ensi;;"raoudha.chebil@ensi.rnu.tn;chebbi.nizar.ensi@hotmail.fr";www.ensi.rnu.tn;;;;;;;
Equinoxes;71940080;info@equinoxes.net;;Batiment Hertz, Rue des Entrepreneurs - Z.I. Charguia II - 2035 Tunis-Carthage;;;;;;
EURO MEDLOG;71806809;hmegdiche@planet.tn;;71, r. A. Savary;;;;;;
Evatys;;recrutement@evatys.com;www.evatys.com;;;;;;;
EXPERT TUNISIE SQL;71236736;sql.expert@planet.tn;www.sqlexpert.com ; 7, Immeuble Narjess. 2091 MENZAH 6 ARIANA;;;;;;
Facenet Service;71333160;facenetservicefrance@gmail.com;www.facenetservice.com/;3 rue Kenitra,1001 Tunis, Tunisie;;;;;;
Facenet Service;;Pierre.saulnier@facenetservice.com;www.facenetservice.com;;;;;;;
FAURIEL;71323655;info@f2i. Com.tn;;126,r. Yougoslavie;;;;;;
FIM TUNISIE;71893768;fim-dard@gnet.tn;;21, r. Asdrubal;;;;;;
FMSOFT;71569898 / 71569898;fmsoft@gnet.tn;;"Rue OUM ESSAAD YAHYA  TUNIS 1006";;;;;;
Focus;;"recruit@focus.com.tn;focus@focus.com.tn ; focus@planet.tn";www.focus.com.tn;;;;;;;
FRATCOM;71864432;fratcom@topnet.tn;;5, Rue Bayrouni , 2036 SOUKRA ARIANA  ;;;;;;
Gazelle Technologies;;jobs@gazelle-technologies.com;www.gazelle-technologies.com;;;;;;;
GCS;71428666;gcs@planet.tn;;5, r. Usines, Z.I. Sidi R�sig, M�grine;;;;;;
GCT;71894267;gct@planet.tn;;9, r. B. Khouri, Omrane;;;;;;
GEISER;71799400;utic@utic.com.tn;;R.8611, Charguia, B. P,136;;;;;;
GENIE INFORMATIQUE;71496504;genie.inf@planet.tn;;5, r.A. Ben Ayed Tunis Bab Menara;;;;;;
Genigraph;;"mgueydon@genigraph.fr;mgueydan@genigraph.fr;wmrabti@genigraph.fr";www.genigraph.fr;;;;;;;
GEOMAP INTERNATIONAL;71796980;mbenhamida.geomap@planet.tn;;44,46 av. Libert�;;;;;;
GIC;71428710;gic.gara@planet.tn;;Rezig center;;;;;;
GIS (GENERAL INFORMATIQUE ET SURVEILLANCE);71848847;gis.ah@planet.tn;;45, r. A. Savary;;;;;;
GIS (GRAPHIQUE INGENIERIE SERVICE);71846023;gis.khenissi@planet.tn;;71, r. Jugurtha Mutuelleville;;;;;;
GIT;71770773;git.tunisie@planet.tn;;71, r. Savary app. C 32, C. Khadra;;;;;;
GLOBAL SERVICE INFORMATIQUE;71953747;globalserviceinformatique@topnet.tn;; Espace Zitouna MONTPLAISIR TUNIS;;;;;;
Go-makkah;;contact@go-makkah.com;www.go-makkah.com;;;;;;;
Gostai;;contact@gostai.com;www.gostai.com;;;;;;;
Groupement Informatique;71844866;alejri@planet.tn;;112,R. Palestine 1002 Tunis;;;;;;
Gruppocos;;ridha@gruppocos.it;www.gruppocos.it;;;;;;;
Gs1tm;;info@gs1tm.org;www.gs1tm.org;;;;;;;
GSI;71286618;gsi.tunisia@gnet.E43tn;;33, r. A. Savary;;;;;;
GTI;71798700;gti.informatique@planet.tn;;5/7, r. Khartoum, Compl. Diplomate Bloc 4;;;;;;
GTMC;71809043;gtmc@planet.tn;;1, r. Ibn Rochd, C. Khadra;;;;;;
Hexabyte;;"bilel.lajmi@hexabyte.tn;yossr.landoulsi@hexabyte.tn;revelation@hexabyte.tn";www.hexabyte.tn;;;;;;;
Himilco;;"Raed.kouki@himilco.net;contact@himilco.net";www.himilco.net;;;;;;;
Hlpsite;;biz@hlpsite.com;www.hlpsite.com;;;;;;;
HOTIX TUNISIE;71706707;hotix@planet.tn;;19, r. Artisanat. Z.I. Charguia;;;;;;
Hotixsoft;;tunisie@hotixsoft.com;www.hotixsoft.com;;;;;;;
Hotmail;;info@hotmail.com;www.hotmail.com;;;;;;;
HR-Access;;candidature@hraccess.com;www.hraccess.com;;;;;;;
HSI (HARD SOFT INFORMATIQUE);70696288;hsi.wah@gnet.tn;; 62, Avenue de l'UMA 2036, SOUKRA ARIANA;;;;;;
I2M (INFORMATIQUE MULTIMEDIA);71841866;asellami.i2m@planet.tn;;7, r. 8002, Monplaisir;;;;;;
Ibs;;commercial@ibs.com.tn;www.ibs.com.tn;;;;;;;
ICN;71787256;info@icn.com.tn;;Ang. R. 8009/8010, Bloc D, Ctre Babel, Monplaisir;;;;;;
ICOTEC;71344800;psc.tec@planet.tn;;63, r. M. Attia;;;;;;
ICS (INTERNATIONAL COMPUTER SERVICE);71235660 / 71754711;ics.gateway2000@planet.tn;;49, r. Moez, Menzah;;;;;;
IDEE;71799338;kamel@idee.com.tn;;112, r. Palestine;;;;;;
IDERYET PLUS;71794808;ideryet.plus@gnet.tn;;65, r. A. Savary;;;;;;
Ifr;;"gl@ifr.org;sl@ifr.org";www.ifr.org;;;;;;;
Ifremer;;rigaud@ifremer.fr;www.ifremer.fr;;;;;;;
IFRICOM;71795636;ifricom@planet.tn;;11, r. M. Bourguiba;;;;;;
Ige-xao;;hchtara@ige-xao.com;www.ige-xao.com;;;;;;;
Igm;;fbraham@igm.com.tn;www.igm.com.tn;;;;;;;
Igm-france;;contact@igm-france.com;www.igm-france.com;;;;;;;
IMCS;71799909;imcs@gnet.tn;;15bis, r. Dr A. Laveran;;;;;;
Immersion;;job@immersion.fr;www.immersion.fr;;;;;;;
Infodesign-tn;;info@infodesign-tn.com;www.infodesign-tn.com;;;;;;;
INFONET SERVICE TUNIS;71573922;publinet.infonet@planet.tn;; 1, rue Taieb M'hiri. 2000 BARDO TUNIS;;;;;;
INFORMATION TECHNOLOGIE CONSULT ITC;71814334;mohmed.yangui@planet.tn;;Avenue Hedi NOUIRA, Immeuble La Coupole MENZAH 5 - 8 ARIANA;;;;;;
Initiative Business;;jobs@initiativebusiness.com;www.initiativebusiness.com;;;;;;;
INSER (INFORMATIQUE SERVICE);71703601;inser.tn@planet.tn;;Av. M. Hajej, Ariana;;;;;;
Inspire;;info@inspire.com.tn;www.inspire.com.tn;;;;;;;
INTEGER;71808606;secureu@integer.com.tn;;27, r. 8603, Z.I. Charguia;;;;;;
Integ-objects;;careers@integ-objects.com;www.integ-objects.com;;;;;;;
Intempora;;"contact@intempora.com;support@intempora.com";www.intempora.com;;;;;;;
INTERDATA;71321352;idata@gnet.tn;;18, r. Maroc;;;;;;
IOTA;74211827;iota@planet.tn;;8 Rue Ibn Chabbat 3000 Sfax;;;;;;
Ipnets;;contact@ipnets.tn;www.ipnets.tn;;;;;;;
Irsit;;hatem@irsit.rnrt.tn;www.irsit.rnrt.tn;;;;;;;
ISC;71843800;mfrachdi.isc@planet.tn;;11, r. Azzam;;;;;;
Itbs4tic;;job@itbs4tic.com;www.itbs4tic.com;;;;;;;
ITCI;71503542;info@itci-online.com;;12 Rue Hammamet,  2000 Le Bardo;;;;;;
IT-Conseil;23225950��;ghamgui@it-conseil.com;www.it-conseil.com;Pole Elgazala des Technologies de la communication - 2083 C. GHAZELA ARIANA;;;;;;
ITG;71840599;info@itg-tunisia.com;;13, r. J�rusalem;;;;;;
ITIC;71894600;itic@planet.tn;;44, r. Niger;;;;;;
Itpartner-info;;rh@itpartner-info.com;www.itpartner-info.com;;;;;;;
KARTECH DEVELOPPEMENT;71429258;kar.tech@planet.tn;;Z.I. st Gobain, M�grine Riadh;;;;;;
Keyros;;mourad.benhamida@keyros.com;www.keyros.com;;;;;;;
KHADAMET;71454310��;khadamet@planet.tn;;40, Av. 7 Novembre - 2034 EZZAHRA BEN AROUS  ;;;;;;
Kineocam;;contact@kineocam.com;www.kineocam.com;;;;;;;
Kt-centrex;;emploie@kt-centrex.com;www.kt-centrex.com;;;;;;;
Lareference;;info@lareference.com.tn;www.lareference.com.tn;;;;;;;
LB CONSULTING;71857874��;lbconsulting@planet.tn;;Route de Raoued Km 3,5 - 2088 PARC TECHNOLOGIQUE ARIANA ;;;;;;
LE PARTENAIRE INFORMATIQUE;71285433;lpi@gnet.tn;;6, r. Argentine;;;;;;
Leservice;;evision@leservice.com;www.leservice.com;;;;;;;
Lexpress;;imedia@lexpress.net;www.lexpress.net;;;;;;;
LG-Electronics;71 861 059;Mahfoudh.AOUICHRI@lge.com;www.lg.com;Immeuble Mansoura 1 rue du Lac Annecy - Bloc C 4�me �tage, 1053 Les Berges du Lac, Tunis / Tunisie;;;;;;
LINK AND CO;71782117;link@gnet.tn;;18, r. S�n�gal;;;;;;
Link Software International;71 856 167 / 71 856 175;info@linkconet.com;www.linkconet.com;P�le technologique des communications - 2088 (Ariana), Tunisie;;;;;;
Linkconet;;agasri@linkconet.com;www.linkconet.com;;;;;;;
Linkonet;;info@linkonet.com;www.linkonet.com;;;;;;;
Liweb-agency;;contact@liweb-agency.net;www.liweb-agency.net;;;;;;;
LOGIN SOFTWARE;71793398;login.software@planet.tn;;4, r. A. Triki;;;;;;
Lunivers-info;;commercial@lunivers-info.com.tn;www.lunivers-info.com.tn;;;;;;;
Manager Partner;71 96 53 38;Khaled.triki@managerportner.com.tn;www.managerpartner.com.tn;6 Rue du lac Toba App n� 12 - Les Berges du Lac -1053-;;;;;;
MAPSYS TUNISIE;71885166;mapsystn@planet.tn;;7, r. 7306, Menzah 9;;;;;;
Masagroup;;info@masagroup.eu;www.masagroup.eu;;;;;;;
MASH;71766622;commercial@mash.com.tn;www.mash.com.tn;2, r. Saheb Taba�;;;;;;
Mateco;;info@mateco.com.tn;www.mateco.com.tn;;;;;;;
Mat-riscx;;m.hassine@mat-riscx.com;www.mat-riscx.com;9, Rue de J�rusalem Belv�d�re 1002 Tunis;;;;;;
Maxulaconseils;;recrutement@maxulaconseils.com;www.maxulaconseils.com;;;;;;;
MBI;71234003;mbi@planet.tn;;6 Rue Lieutnent Bejaoui, ElMenzah 5;;;;;;
MCI Tunisie;71282721��;"jemmali@lycos.com;koobaa-houssem@lycos.com";;25BIS, RUE CANADA - 1002 TUNIS BELVEDERE TUNIS;;;;;;
Med.ge;;Guillaume.buc@med.ge.com;www.med.ge.com;;;;;;;
MEDI 3 D ANIMATION;71940398;medi3d@yahoo.fr;;34, r. M�tiers, B.P. 631, Z.I. Charguia;;;;;;
MEDIA NET;71766635;info@medianet-tunisie.com;;15, r. M. Hlioui, Menzah;;;;;;
MEDIA SUD;71849095;mahertrifi@yahoo.fr;;Monplaisir, Imm. Narcisse;;;;;;
MEDIA XPERT;71211425;info@media-xpert.com;www.media-xpert.com;Bd Environnement, r�s. El Ahmadi, Boumhel;;;;;;
MEDIANOVA;71715123;info@medianova.com.tn-medianova@planet.tn;;82, av. H. Bourguiba, Ariana;;;;;;
Mediatix;;rs@mediatix.com;www.mediatix.com;;;;;;;
Medinfo Tunisie�;;kketari@medinfo.fr;www.medinfo.fr;R�sidence Lac 2001, Prima bloc C appartement n� 4 Les Berges du Lac 1053 Tunis;;;;;;
MEDSOFT;71860955;lazhar.fekih@medsoft.com.tn;;R. 101, Imm. Astr�e, Berges Lac;;;;;;
MICRO DESIGN, STE;71350347;ytanfous@microdesign.com.tn;;16, r. Ath�ne;;;;;;
Microsoft;;mictn@microsoft.com;www.microsoft.com;;;;;;;
MRS;71856252;ms@mrs.com.tn;;Parc Technologique des communications, Km 3,5 R. de Raoued, 2083 Cit� El Ghazala;;;;;;
MSI;71719657;msi.consultants@gnet.tn;;44, av. Habib Bourguiba- 2080 Ariana, Tunisie;;;;;;
MSI Consultants;71 230 615 / 71 230 447;msi.consultants@gnet.tn;www.msi-consultants.com;4 bis Rue Hassen ENNOURI El Menzah V - 037 Ariana;;;;;;
MULTICOM;71843007;multicom@planet.tn;;4, r. C�te Ivoire;;;;;;
N3s;;n3s@n3s.com.tn;www.n3s.com.tn;;;;;;;
NCS Telecom;71 287 199 -71287533;hchebbi@ncstelecom.com.tn;;;;;;;;
Ncstelecom;;contact@ncstelecom.net;www.ncstelecom.net;;;;;;;
Netcom;71847846;karim.ahres@netcom.com.tn;;2 Rue Bahri Brigui, 2092 Manar;;;;;;
Netcreations;;direction@netcreations.com.tn;www.netcreations.com.tn;;;;;;;
NEUROCOM Tunisie;71280100;mab@neurocom.com.tn;;19 Av Jugurtha - Cit� Mehraj�ne � 1082 Tunis;;;;;;
Newsoft-tn;;slim.lamine@newsoft-tn.com;www.newsoft-tn.com;;;;;;;
Newtech�;71 85 90 00;nt@newtech.com.tn;www.newtechtn.com;Adresse postale: Parc des Technologies des communications ELGHAZALA B.P n�19 --2088-Ariana ,TUNISIE;;;;;;
NEXT SOFTWARE;71711907;next.software@gnet.tn;;Ariana Center ARIANA ARIANA;;;;;;
Next Web +;72 262 628;info@nextwebplus.com;www.nextwebplus.com;97 Av. du koua�t Immeuble Hamzaoui (el zouhour) 2eme �tage. Hammamet 8050-Tunisie;;;;;;
Nextedia;;"recrute_tunis@nextedia.com;hhediji@nextedia.com";www.nextedia.com;;;;;;;
Nouvelair;�73 52 06 00;Mehdi.mezghani@nouvelair.com.tn;www.nouvelair.com;�Zone Touristique Dkhila - 5065 - Monastir - Tunisie;;;;;;
Novamotion;;info@novamotion.com;www.novamotion.com;;;;;;;
NSS;71843482;nss@planet.tn;;17,r. A. Kabadi, Omrane;;;;;;
Oasistechnologique;;info@oasistechnologique.com;www.oasistechnologique.com;;;;;;;
OBI Tunisie;71289646;obitunisie@planet.tn;;7 Rue Hooker Dolittle, 1002 Tunis;;;;;;
Omega-ing;;omega@omega-ing.com;www.omega-ing.com;;;;;;;
Oneclic;;contact@oneclic.com.tn;www.oneclic.com.tn;;;;;;;
ONLY SOFT;71800257;onlysoft@planet.tn;;3, r. M. Ibn Noussair;;;;;;
Open Information Technology;71845011;info@openitt.com;www.openitt.com;11, Rue Imem El bekri 1002 - tunis�;;;;;;
Open-itt;;support@openitt.com;www.openitt.com;;;;;;;
OPENNET COMMUNICATIONS;71892377;jamel.sghaier@opennet.com.tn;;R. Moez, Imm, Aur�s, Apt n�3 Menzeh;;;;;;
Optimal Manager;71 90 42 51 ;optimal.manager@planet.tn;www.optimal-manager.com;;;;;;;
OPTYMA INFO MEDIA;71848471;optyma.infomedia@planet.tn;;7, r. A. Ibn Badis;;;;;;
ORADIST;71860344;support@oradist.com.tn;;Ru du Lac Malren, 1053 Berges Lac;;;;;;
Orange Tunisie;;Sami.kilani@orangeTunisie.tn;recrutement.orangetunisie.tn;;;;;;;
ORBIT NET;71883798;orbit-net@planet.tn;;9, av. Ere Nouvelle, C. Ennasr, Menzah 9;;;;;;
